Anita_Date,Anita_caseload
1/1/2019,8
1/2/2019,8
1/3/2019,9
1/4/2019,9
1/5/2019,9
1/6/2019,9
1/7/2019,9
1/8/2019,10
1/9/2019,10
1/10/2019,10
1/11/2019,11
1/12/2019,11
1/13/2019,11
1/14/2019,11
1/15/2019,11
1/16/2019,11
1/17/2019,11
1/18/2019,12
1/19/2019,12
1/20/2019,12
1/21/2019,12
1/22/2019,11
1/23/2019,11
1/24/2019,9
1/25/2019,9
1/26/2019,9
1/27/2019,9
1/28/2019,8
1/29/2019,6
1/30/2019,6
1/31/2019,6
2/1/2019,6
2/2/2019,6
2/3/2019,6
2/4/2019,6
2/5/2019,6
2/6/2019,6
2/7/2019,6
2/8/2019,6
2/9/2019,6
2/10/2019,6
2/11/2019,6
2/12/2019,6
2/13/2019,6
2/14/2019,7
2/15/2019,6
2/16/2019,6
2/17/2019,6
2/18/2019,7
2/19/2019,7
2/20/2019,6
2/21/2019,7
2/22/2019,8
2/23/2019,8
2/24/2019,8
2/25/2019,9
2/26/2019,9
2/27/2019,10
2/28/2019,10
3/1/2019,10
3/2/2019,10
3/3/2019,10
3/4/2019,10
3/5/2019,10
3/6/2019,10
3/7/2019,9
3/8/2019,10
3/9/2019,10
3/10/2019,10
3/11/2019,9
3/12/2019,10
3/13/2019,10
3/14/2019,11
3/15/2019,12
3/16/2019,12
3/17/2019,12
3/18/2019,13
3/19/2019,13
3/20/2019,14
3/21/2019,13
3/22/2019,12
3/23/2019,12
3/24/2019,12
3/25/2019,12
3/26/2019,12
3/27/2019,12
3/28/2019,13
3/29/2019,14
3/30/2019,14
3/31/2019,14
4/1/2019,15
4/2/2019,14
4/3/2019,14
4/4/2019,15
4/5/2019,15
4/6/2019,15
4/7/2019,15
4/8/2019,15
4/9/2019,15
4/10/2019,16
4/11/2019,13
4/12/2019,13
4/13/2019,13
4/14/2019,13
4/15/2019,13
4/16/2019,14
4/17/2019,14
4/18/2019,15
4/19/2019,15
4/20/2019,15
4/21/2019,15
4/22/2019,15
4/23/2019,15
4/24/2019,15
4/25/2019,16
4/26/2019,16
4/27/2019,16
4/28/2019,16
4/29/2019,16
4/30/2019,17
5/1/2019,17
5/2/2019,15
5/3/2019,16
5/4/2019,16
5/5/2019,16
5/6/2019,16
5/7/2019,15
5/8/2019,15
5/9/2019,15
5/10/2019,15
5/11/2019,15
5/12/2019,15
5/13/2019,15
5/14/2019,15
5/15/2019,13
5/16/2019,12
5/17/2019,13
5/18/2019,13
5/19/2019,13
5/20/2019,13
5/21/2019,13
5/22/2019,13
5/23/2019,13
5/24/2019,14
5/25/2019,14
5/26/2019,14
5/27/2019,14
5/28/2019,12
5/29/2019,13
5/30/2019,13
5/31/2019,13
6/1/2019,13
6/2/2019,13
6/3/2019,13
6/4/2019,13
6/5/2019,14
6/6/2019,14
6/7/2019,13
6/8/2019,13
6/9/2019,13
6/10/2019,13
6/11/2019,13
6/12/2019,13
6/13/2019,13
6/14/2019,11
6/15/2019,11
6/16/2019,11
6/17/2019,11
6/18/2019,11
6/19/2019,11
6/20/2019,10
6/21/2019,9
6/22/2019,9
6/23/2019,9
6/24/2019,9
6/25/2019,10
6/26/2019,10
6/27/2019,10
6/28/2019,10
6/29/2019,10
6/30/2019,10
7/1/2019,10
7/2/2019,11
7/3/2019,11
7/4/2019,11
7/5/2019,11
7/6/2019,11
7/7/2019,11
7/8/2019,11
7/9/2019,12
7/10/2019,12
7/11/2019,13
7/12/2019,13
7/13/2019,13
7/14/2019,13
7/15/2019,13
7/16/2019,13
7/17/2019,13
7/18/2019,13
7/19/2019,13
7/20/2019,13
7/21/2019,13
7/22/2019,13
7/23/2019,14
7/24/2019,14
7/25/2019,12
7/26/2019,13
7/27/2019,13
7/28/2019,13
7/29/2019,13
7/30/2019,13
7/31/2019,14
8/1/2019,13
8/2/2019,13
8/3/2019,13
8/4/2019,13
8/5/2019,13
8/6/2019,13
8/7/2019,13
8/8/2019,13
8/9/2019,14
8/10/2019,14
