Arlene_Date,Arlene_caseload
1/1/2019,14
1/2/2019,13
1/3/2019,14
1/4/2019,14
1/5/2019,14
1/6/2019,14
1/7/2019,15
1/8/2019,15
1/9/2019,16
1/10/2019,16
1/11/2019,16
1/12/2019,16
1/13/2019,16
1/14/2019,15
1/15/2019,14
1/16/2019,14
1/17/2019,15
1/18/2019,15
1/19/2019,15
1/20/2019,15
1/21/2019,15
1/22/2019,14
1/23/2019,14
1/24/2019,14
1/25/2019,14
1/26/2019,14
1/27/2019,14
1/28/2019,12
1/29/2019,12
1/30/2019,13
1/31/2019,13
2/1/2019,13
2/2/2019,13
2/3/2019,13
2/4/2019,13
2/5/2019,13
2/6/2019,14
2/7/2019,14
2/8/2019,15
2/9/2019,15
2/10/2019,15
2/11/2019,15
2/12/2019,15
2/13/2019,15
2/14/2019,16
2/15/2019,16
2/16/2019,16
2/17/2019,16
2/18/2019,16
2/19/2019,17
2/20/2019,17
2/21/2019,16
2/22/2019,16
2/23/2019,16
2/24/2019,16
2/25/2019,16
2/26/2019,17
2/27/2019,17
2/28/2019,18
3/1/2019,18
3/2/2019,18
3/3/2019,19
3/4/2019,19
3/5/2019,18
3/6/2019,16
3/7/2019,17
3/8/2019,17
3/9/2019,17
3/10/2019,17
3/11/2019,17
3/12/2019,17
3/13/2019,15
3/14/2019,15
3/15/2019,15
3/16/2019,15
3/17/2019,15
3/18/2019,14
3/19/2019,13
3/20/2019,12
3/21/2019,12
3/22/2019,11
3/23/2019,11
3/24/2019,11
3/25/2019,12
3/26/2019,12
3/27/2019,12
3/28/2019,13
3/29/2019,13
3/30/2019,13
3/31/2019,13
4/1/2019,13
4/2/2019,13
4/3/2019,13
4/4/2019,13
4/5/2019,13
4/6/2019,13
4/7/2019,13
4/8/2019,13
4/9/2019,12
4/10/2019,13
4/11/2019,13
4/12/2019,13
4/13/2019,13
4/14/2019,13
4/15/2019,13
4/16/2019,13
4/17/2019,13
4/18/2019,13
4/19/2019,13
4/20/2019,13
4/21/2019,13
4/22/2019,13
4/23/2019,11
4/24/2019,11
4/25/2019,11
4/26/2019,11
4/27/2019,11
4/28/2019,11
4/29/2019,11
4/30/2019,11
5/1/2019,11
5/2/2019,11
5/3/2019,10
5/4/2019,10
5/5/2019,10
5/6/2019,10
5/7/2019,9
5/8/2019,8
5/9/2019,7
5/10/2019,7
5/11/2019,7
5/12/2019,7
5/13/2019,7
5/14/2019,6
5/15/2019,6
5/16/2019,4
5/17/2019,4
5/18/2019,4
5/19/2019,4
5/20/2019,4
5/21/2019,3
5/22/2019,3
5/23/2019,3
5/24/2019,2
5/25/2019,2
5/26/2019,2
5/27/2019,2
5/28/2019,2
5/29/2019,2
5/30/2019,2
5/31/2019,2
6/1/2019,2
6/2/2019,2
6/3/2019,2
6/4/2019,2
6/5/2019,2
6/6/2019,2
6/7/2019,2
6/8/2019,2
6/9/2019,2
6/10/2019,2
6/11/2019,2
6/12/2019,2
6/13/2019,2
6/14/2019,2
6/15/2019,2
6/16/2019,2
6/17/2019,2
6/18/2019,2
6/19/2019,2
6/20/2019,2
6/21/2019,2
6/22/2019,2
6/23/2019,2
6/24/2019,2
6/25/2019,2
6/26/2019,2
6/27/2019,2
6/28/2019,2
6/29/2019,2
6/30/2019,2
7/1/2019,2
7/2/2019,2
7/3/2019,2
7/4/2019,2
7/5/2019,2
7/6/2019,2
7/7/2019,2
7/8/2019,2
7/9/2019,2
7/10/2019,2
7/11/2019,2
7/12/2019,2
7/13/2019,2
7/14/2019,2
7/15/2019,2
7/16/2019,2
7/17/2019,2
7/18/2019,2
7/19/2019,2
7/20/2019,2
7/21/2019,2
7/22/2019,2
7/23/2019,2
7/24/2019,2
7/25/2019,1
7/26/2019,1
7/27/2019,1
7/28/2019,1
7/29/2019,1
7/30/2019,1
7/31/2019,1
8/1/2019,1
8/2/2019,0
8/3/2019,0
8/4/2019,1
8/5/2019,1
8/6/2019,1
8/7/2019,1
8/8/2019,1
8/9/2019,1
8/10/2019,2
8/11/2019,2
8/12/2019,2
8/13/2019,2
8/14/2019,3
8/15/2019,3
8/16/2019,4
8/17/2019,4
8/18/2019,4
8/19/2019,4
8/20/2019,3
8/21/2019,3
8/22/2019,3
8/23/2019,3
8/24/2019,3
8/25/2019,3
8/26/2019,5
8/27/2019,5
8/28/2019,5
8/29/2019,4
8/30/2019,4
8/31/2019,4
9/1/2019,4
9/2/2019,4
9/3/2019,3
9/4/2019,3
9/5/2019,3
9/6/2019,4
