Date	caseload_Team
1/1/2019	55
1/2/2019	51
1/3/2019	54
1/4/2019	54
1/5/2019	54
1/6/2019	55
1/7/2019	56
1/8/2019	54
1/9/2019	57
1/10/2019	57
1/11/2019	58
1/12/2019	58
1/13/2019	58
1/14/2019	57
1/15/2019	57
1/16/2019	58
1/17/2019	59
1/18/2019	60
1/19/2019	61
1/20/2019	61
1/21/2019	61
1/22/2019	59
1/23/2019	59
1/24/2019	59
1/25/2019	59
1/26/2019	59
1/27/2019	59
1/28/2019	54
1/29/2019	51
1/30/2019	54
1/31/2019	49
2/1/2019	49
2/2/2019	49
2/3/2019	49
2/4/2019	50
2/5/2019	50
2/6/2019	52
2/7/2019	52
2/8/2019	54
2/9/2019	53
2/10/2019	53
2/11/2019	53
2/12/2019	55
2/13/2019	55
2/14/2019	57
2/15/2019	56
2/16/2019	56
2/17/2019	57
2/18/2019	59
2/19/2019	56
2/20/2019	55
2/21/2019	55
2/22/2019	54
2/23/2019	54
2/24/2019	54
2/25/2019	57
2/26/2019	59
2/27/2019	61
2/28/2019	63
3/1/2019	62
3/2/2019	62
3/3/2019	64
3/4/2019	64
3/5/2019	65
3/6/2019	63
3/7/2019	62
3/8/2019	64
3/9/2019	64
3/10/2019	65
3/11/2019	65
3/12/2019	67
3/13/2019	65
3/14/2019	67
3/15/2019	66
3/16/2019	66
3/17/2019	66
3/18/2019	66
3/19/2019	66
3/20/2019	65
3/21/2019	64
3/22/2019	63
3/23/2019	63
3/24/2019	63
3/25/2019	64
3/26/2019	65
3/27/2019	66
3/28/2019	68
3/29/2019	70
3/30/2019	70
3/31/2019	70
4/1/2019	71
4/2/2019	72
4/3/2019	73
4/4/2019	75
4/5/2019	75
4/6/2019	75
4/7/2019	75
4/8/2019	76
4/9/2019	75
4/10/2019	75
4/11/2019	70
4/12/2019	72
4/13/2019	72
4/14/2019	73
4/15/2019	72
4/16/2019	74
4/17/2019	74
4/18/2019	75
4/19/2019	76
4/20/2019	76
4/21/2019	76
4/22/2019	76
4/23/2019	71
4/24/2019	70
4/25/2019	69
4/26/2019	69
4/27/2019	69
4/28/2019	69
4/29/2019	70
4/30/2019	71
5/1/2019	71
5/2/2019	67
5/3/2019	67
5/4/2019	67
5/5/2019	67
5/6/2019	67
5/7/2019	65
5/8/2019	62
5/9/2019	61
5/10/2019	63
5/11/2019	63
5/12/2019	63
5/13/2019	61
5/14/2019	59
5/15/2019	57
5/16/2019	54
5/17/2019	56
5/18/2019	54
5/19/2019	54
5/20/2019	55
5/21/2019	56
5/22/2019	57
5/23/2019	57
5/24/2019	57
5/25/2019	57
5/26/2019	57
5/27/2019	58
5/28/2019	57
5/29/2019	59
5/30/2019	58
5/31/2019	59
6/1/2019	59
6/2/2019	59
6/3/2019	58
6/4/2019	55
6/5/2019	57
6/6/2019	58
6/7/2019	57
6/8/2019	58
